Genes,0a,0b,4a,4b,8a,8b,12a,12b,16a,16b,20a,20b
Mp1g00400,909.9292244,979.3781315,835.6691622,922.8269027,890.5811897,952.7175376,893.3639622,1029.614612,881.3581655,1031.487936,931.8461023,780.1650955
Mp1g00410,87.13176547,68.07368128,95.29152907,92.7571417,57.8927969,73.23433481,87.53912517,96.31796401,102.184161,109.8322283,77.88727952,149.7428916
Mp1g00420,1046.538816,951.5683299,918.5566347,1084.793412,841.5672527,925.639907,1064.855719,978.8328547,983.8300137,969.4466003,1295.375363,1081.384379
Mp1g00430,876.9672236,881.4498532,818.5374472,825.6755696,1121.47064,742.8952787,721.0898872,663.9479338,565.4934801,594.5588178,1234.987007,1320.652497
Mp1g00440,1175.685942,1245.361335,787.0902575,798.8573146,842.6577778,776.8370094,870.1009136,922.6728533,1176.124303,1205.289231,1007.58951,629.5462972
Mp1g00450,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00460,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.058270746,0.830913042,0,0.836798623,1.39E-17,1.39E-17,4.09468746,3.361852752
Mp1g00470,0.78600737,12.29843968,3.801624573,4.463213754,11.43028036,10.64231627,1.768371334,10.09332761,10.27431221,2.78749168,2.078011394,10.28991884
Mp1g00480,4591.94736,4928.884104,4881.663725,6149.388548,3300.592421,4785.861645,4369.185689,5418.525378,4597.797815,4664.952617,2411.528029,1478.471916
Mp1g00490,1884.067737,1902.073204,1232.942897,2044.337754,948.4319119,1226.368802,1461.713484,1381.031361,3079.532318,3576.564975,1208.394346,1720.848954
Mp1g00500,12.97662172,3.140569853,0,1.09614792,0.217776474,3.378065809,0,0.836798623,0,4.105609625,1.076783087,23.4347365
Mp1g00510,344.6293863,283.5369684,247.7720388,224.6356284,332.7359172,224.7054657,310.2371445,295.2506928,334.9599109,362.6559132,339.9905335,376.6660337
Mp1g00520,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00530,469.2092271,436.0981361,708.9601753,694.9699397,522.8650164,667.8903597,640.9439824,640.3628758,570.2131924,530.2566931,441.3523617,420.5924399
Mp1g00540,809.1878388,750.5333092,830.9216153,851.3640952,719.2170122,903.5824831,1050.875653,982.9271298,812.9476014,743.6168247,1008.596048,541.3237085
Mp1g00550,2341.423613,1942.309024,678.3980186,909.3070613,396.7371113,284.6997319,485.2825951,626.7254664,1685.237371,1692.326932,2055.252516,2603.8871
Mp1g00560,1025.496609,857.7656016,525.9726796,589.8690303,386.2148736,376.1047711,570.1497187,555.5006307,799.0076782,870.600021,694.2401245,442.6355811
Mp1g00570,1783.26172,1818.566061,1862.970269,1508.458334,2959.345909,1941.937695,2253.591635,2083.389211,1687.549717,1662.153973,2522.210211,3227.210119
Mp1g00580,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00590,1.39E-17,1.39E-17,0,4.351051706,1.448758655,0,1.39E-17,1.39E-17,0,1.022949232,1.39E-17,1.39E-17
Mp1g00600,42.22227395,31.98865446,40.93867199,50.20341873,32.57597643,66.11029959,68.02998015,66.86536828,66.64624895,49.78627772,49.05720503,8.37346922
Mp1g00610,11.95757261,8.268378522,0,2.179600279,1.958162896,4.167577761,2.781589561,3.266364343,1.5037108,1.526748288,2.04102223,0.126159455
Mp1g00620,983.2422072,1051.544427,812.8087979,861.4002455,1683.365078,1322.024096,1636.84591,1596.423025,1654.729393,1630.456831,1241.130739,1322.274514
Mp1g00630,121.0342023,96.93859042,79.94847522,131.5996327,89.31023654,125.8936074,116.4558147,112.5340062,167.8722009,171.6342116,135.1772536,140.0902306
Mp1g00640,451.6999842,538.1235749,695.6094821,712.8210277,520.053876,783.0126495,710.8140846,712.9701249,562.3940327,616.2516782,537.6238555,571.681169
Mp1g00650,310.6349574,319.5878098,284.9483502,243.6607542,572.5487883,303.366185,332.5893583,323.0040716,339.800698,291.2823355,727.1360309,1481.395604
Mp1g00660,5.575944427,1.056980627,1.847740367,9.302830333,11.62020897,5.574692079,0,5.961339129,3.639840672,7.105872994,0.007305666,2.954459186
Mp1g00670,1.39E-17,1.39E-17,0,0.571678794,20.13855891,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00680,1443.310272,1388.67568,1585.665984,1353.127423,1618.869444,1727.176461,1597.684131,1735.201783,1171.659876,1087.665425,1506.298249,988.6242608
Mp1g00690,1833.672257,1826.81709,2076.380439,1993.262763,1993.670853,2137.813561,2338.342235,2334.715695,1855.483802,1798.977154,2212.906577,1889.911448
Mp1g00700,54.95542751,58.75811565,27.64549571,24.6279215,36.64708121,114.8760477,104.2549217,138.0744332,257.8789331,277.6061939,108.4143506,17.06746938
Mp1g00710,821.1246964,718.5829185,825.2038265,846.8940333,1850.8522,1032.673646,1163.559739,1230.215581,926.6374507,873.5321143,1350.752012,2285.688712
Mp1g00720,350.9826864,337.1236534,469.7945899,434.675303,466.1606992,418.7431962,439.6620044,518.9617058,353.3762755,350.1907827,402.465111,482.7362957
Mp1g00730,124.6233897,123.7155753,132.4437126,136.3034826,103.5165285,118.3475164,172.4286085,130.2873588,121.4784633,105.7647957,79.86549833,71.19537432
Mp1g00740,181.4279293,185.5674592,112.5568623,60.61002633,4397.327381,48.29456526,68.90769148,75.92138998,86.06454083,101.9178674,2400.375794,3875.604151
Mp1g00750,248.2870688,279.3684864,121.9912005,108.4440431,1685.706948,84.34900783,63.31068407,71.86290331,110.9311274,168.9450006,1300.434486,1860.693596
Mp1g00760,15.70426671,6.230775534,7.592910577,11.1106361,24.13543374,4.513568874,2.713891871,9.202960023,9.551698308,20.46423788,16.34788226,5.749827266
Mp1g00770,120.9472003,123.7114972,210.6056613,193.3448118,276.8922781,301.4621894,166.7061428,194.2658817,137.4960226,121.2368484,109.5626409,98.57195795
Mp1g00780,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00790,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,0.836798623,1.39E-17,1.39E-17,0.003607102,1.452450614
Mp1g00800,2.675956787,7.189309798,4.797862964,1.200663851,1.448758655,0,2.758722534,4.966393707,3.71099283,5.47819276,8.228983422,19.8835884
Mp1g00810,337.2248273,334.0284517,384.9783451,368.7363949,534.4411246,413.6940133,1032.274778,880.0588698,790.7360628,773.0676773,752.5799731,369.1592937
Mp1g00820,3229.317999,3233.009459,4063.163891,4224.426797,2538.220979,4093.62562,3708.722092,3954.894433,3976.606415,3717.799409,2179.136905,2261.411885
Mp1g00830,1439.621608,1458.771297,1532.225034,1814.375609,1820.087733,1888.939619,2086.809259,2068.776501,1818.044092,1824.528304,2673.653023,1311.490907
Mp1g00840,804.5967395,759.8096627,909.0724468,879.3289614,809.2623729,1026.78243,1021.977289,1010.711479,1071.826262,874.9217088,698.3570176,532.3669669
Mp1g00850,2490.761491,2230.959047,1548.502232,1308.441284,1449.458494,2019.784868,2188.340325,2266.224348,3258.220329,3507.671586,1820.716966,1731.741848
Mp1g00860,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00870,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.792179936,0,1.39E-17,1.39E-17
Mp1g00880,1132.825633,722.7507226,649.8509925,725.0625725,394.1074274,612.21162,545.9477472,500.7913823,474.1228399,411.1240386,439.2828121,347.0229023
Mp1g00890,20.83074121,59.68976306,16.14446156,25.56731627,9.265188268,22.46760053,8.239497441,24.90423037,10.6588437,10.8093714,23.53081119,15.29091463
Mp1g00900,425.2239181,335.9586313,310.6442399,255.8892625,607.9872288,335.8303761,303.2837195,280.2719663,325.5057167,296.7054101,511.8941391,893.6507652
Mp1g00910,538.8774901,555.8329172,386.8873882,439.1116504,933.102067,468.8103636,487.6629427,497.075139,517.9228617,531.9643017,782.5763356,1078.569495
Mp1g00920,19437.36588,18416.60454,16160.25298,16834.04169,19668.24489,15766.57443,19886.16574,18916.78713,19475.86587,20066.09497,23117.36685,20406.76365
Mp1g00930,805.5365501,721.6722817,819.4549144,967.4792942,477.4394374,703.3292456,623.1710835,778.4298782,803.5599156,896.9128406,839.6078897,361.3821312
