Genes,0a,0b,4a,4b,8a,8b,12a,12b,16a,16b,20a,20b
Mp1g26210,0,9.214374261,3.125543802,4.446308898,5.607725977,8.074110388,10.41351555,0,5.730069568,0,7.168853728,7.109285337
Mp1g26220,13.1470791,0.038356494,4.734181308,0.060680984,12.25046882,2.108373637,0,3.335849753,2.891834663,3.250583429,14.37021709,282.5310108
Mp1g26230,1956.655774,1968.043196,1431.62428,1006.530891,1734.295243,1524.05233,1306.964687,1374.112316,2654.412576,2707.911772,1277.341235,1256.274868
Mp1g26240,2.735838524,3.09310703,0.958766993,0.013525867,22.8617502,6.203119903,3.727836512,3.228042231,1.261666395,7.257141407,32.8536642,103.7151565
Mp1g26250,951.2370922,860.8468622,953.8834213,831.3443991,839.9924592,942.9044958,893.4017351,917.7495329,1031.111229,1052.208352,893.8948084,436.8293806
Mp1g26260,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g26270,1036.42293,1027.844415,1143.535751,897.3216966,837.4711771,706.9549606,496.4956109,576.0507016,461.8741122,413.4770555,1261.614093,1376.966274
Mp1g26280,13970.23456,13371.21509,13635.11794,11616.47284,11396.97327,5872.358279,4582.56249,5067.637799,4967.11451,5481.453832,14222.76301,20748.38059
Mp1g26290,5568.844729,5483.539542,5939.443325,5812.118453,4379.053234,6192.675634,6445.828806,6305.863384,5831.946855,6074.364711,3831.909055,3709.672964
Mp1g26300,60.38457943,80.38041226,58.16736937,44.80765524,36.31786999,41.1186458,49.29978802,65.44204279,36.46479896,44.19768438,17.37525582,7.312823883
Mp1g26310,131.0272931,134.020902,151.5379725,130.805897,65.77543577,150.0514686,112.6274245,155.2412534,129.7134506,132.2017049,93.13666894,52.82369016
Mp1g26320,139.215013,168.0187398,179.1956913,138.681853,185.205504,199.6137168,146.217045,167.3281741,137.2012698,160.9498477,201.7789514,306.5011965
Mp1g26330,548.0068865,523.7234497,763.2470039,848.910266,1637.852711,844.5494251,891.5793156,810.7751192,741.1150871,730.5556288,878.6892671,1729.543414
Mp1g26340,0.850162711,5.125940913,2.872669819,1.166038822,0.166954959,2.52993366,3.791300846,0,1.612713073,0,1.39E-17,1.39E-17
Mp1g26350,199.8536295,157.7673535,111.4892191,109.5122321,123.3669987,152.08124,93.98810856,134.0527235,137.7101701,98.62685629,146.5303496,401.5268489
Mp1g26360,1090.485515,1091.760852,1044.418473,874.9403334,1267.692244,1003.378613,862.6451779,922.6806513,903.7024906,879.7523125,1463.320451,1269.72993
Mp1g26370,3164.285842,2941.266599,2267.913587,2179.848001,1766.490584,2096.019095,2188.324697,2374.764631,2717.186893,2655.593608,2029.618036,1921.822145
Mp1g26380,1954.878883,1443.353877,1490.581354,748.9590656,981.3598367,1274.088384,1976.111516,2152.160651,2364.759134,2426.273644,1106.24483,758.2215003
Mp1g26390,878.7989356,885.5731975,777.6248987,599.0162572,696.9901451,640.5038482,707.9991013,753.8119276,806.6818694,847.3658197,1176.530049,597.8309385
Mp1g26400,802.6643853,976.2666163,1396.019948,1272.645717,1473.421992,1002.435433,868.2538251,876.9458057,756.6309422,601.2153566,944.2164692,1659.006561
Mp1g26410,1061.179435,1016.509368,1220.681399,1134.092058,715.0045894,1151.826321,1149.613369,1118.379887,991.3453855,1081.661449,664.5227513,352.8686653
Mp1g26420,486.5515461,537.1045206,547.906692,568.6849872,403.2385381,489.6279941,509.6139002,468.9792043,570.3226949,482.2224224,378.8942817,388.1684259
Mp1g26430,0.926928744,0.003577278,0,2.210216873,4.382993393,0.713747426,0,0.836798623,1.39E-17,1.39E-17,4.156927331,1.912330593
Mp1g26440,395.767219,515.4296823,992.8698602,1244.529508,428.3893664,643.3918825,378.1326742,513.3764219,377.8837699,347.7927436,463.8735223,414.3347728
Mp1g26450,137.3864991,163.8966804,212.462508,245.7326807,200.1988994,236.6468833,190.9645284,197.4285687,201.3128461,235.170142,243.6981852,198.7268325
Mp1g26460,3236.618335,3491.762223,2705.325117,2297.232828,2846.817449,4143.631339,4538.843409,4121.768942,3813.091316,4154.006429,3017.790407,2540.691469
Mp1g26470,1699.877363,1707.227592,1645.771353,1019.228399,9907.803773,1368.0008,1377.893983,1207.20561,1050.862981,1162.854116,8495.368021,11393.48988
Mp1g26480,111.8061889,107.225112,119.0804559,137.3624496,145.1140686,117.2690416,87.46717348,125.0782931,130.7615571,101.0149452,110.6564117,206.1294454
Mp1g26490,130.3262079,72.23756247,90.56335688,72.73356128,196.7896642,67.48282559,84.87669835,57.63912071,74.05398121,71.07028284,178.1995598,209.0025266
Mp1g26500,3551.931779,3171.170804,2440.414437,2105.051638,11148.24675,1431.229568,1308.872935,1462.760766,1392.65907,1746.696361,24640.19351,35514.03053
Mp1g26510,1214.204678,1192.79519,1184.452988,1189.911505,1008.738595,1199.192198,1218.524285,1290.58416,1279.025827,1478.33333,1187.811646,702.172822
Mp1g26520,36.77957526,21.69712446,80.07558367,66.01618906,19.43578891,44.75275667,26.20438211,12.74354155,2.315287691,1.484147351,20.44498149,8.983384237
Mp1g26530,1.39E-17,1.39E-17,0,1.09614792,0.058270746,0.830913042,0,2.551407453,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g26540,1514.78752,1452.594056,4606.268063,5985.129818,3162.89349,2507.945037,2708.208636,2577.771697,1710.461453,1664.45984,2572.389408,3346.353271
Mp1g26550,0,4.093904936,30.30422003,116.7386526,297.4269752,144.8302133,186.3893569,147.4514287,40.38579658,14.09540045,18.52225865,80.81779335
Mp1g26560,582.8246283,481.3340532,517.7233213,469.994267,308.5311077,579.7105576,535.1876234,557.4842968,484.9506192,523.9887867,292.7346923,212.24394
Mp1g26570,86.56081357,55.50406543,27.67082187,37.71879648,39.61166907,22.92299592,25.16843627,26.69765785,74.28226639,73.44115407,55.39503856,94.92051392
Mp1g26580,7550.807201,6583.924667,5899.082019,5242.974856,3871.424492,5803.87305,6826.379182,6398.765237,6660.196778,6900.266077,5891.13692,1599.405198
Mp1g26590,373.8579022,391.7503996,464.0248337,542.9192505,450.5950126,527.3756805,503.0457999,533.5501228,424.2634154,457.745765,389.1791951,599.5698714
Mp1g26600,1557.849531,1522.69464,2207.856564,2355.200697,1671.890703,1305.594044,1061.984435,1228.666337,856.3369811,865.8782052,2099.253727,2018.420654
Mp1g26610,5637.514035,6413.419097,13250.08992,14282.16955,11641.23228,11354.84698,9017.08324,8722.162569,6693.776612,6310.051592,6240.44918,7637.538884
Mp1g26620,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.003607102,1.452450614
Mp1g26630,3491.384615,3653.623465,3559.103379,3325.077482,5697.5506,3916.306517,3989.141112,4207.772976,3702.521074,3696.998904,6270.113402,5816.643266
Mp1g26640,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g26650,0.83905216,6.149785522,0.947218703,1.123057712,9.935012703,0,0,0.836798623,3.127754962,1.445812208,11.31705826,32.23426009
Mp1g26660,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.010326127,4.250789289
Mp1g26670,10.90345023,18.52394893,35.29781812,25.81366997,31.05261564,29.52622751,41.79922373,68.85115107,34.64866552,22.11399192,32.79307188,44.52878992
Mp1g26680,16.40632534,24.71221376,15.22629628,17.84396351,30.26820858,18.66491317,22.34217265,23.67027747,13.43819217,22.69439378,47.13786722,68.45369669
Mp1g26690,88.01822126,75.27982349,74.24304396,114.8752493,95.02923168,96.90936281,94.98955666,105.2982973,84.05887951,74.08575809,60.42502173,64.33594811
Mp1g26700,894.3620339,936.0831906,557.4509815,540.7909105,1136.662796,512.6749944,523.5116116,608.6836466,685.3056102,732.1908248,1420.373909,2136.248899
Mp1g26710,4789.863757,5424.754707,3757.317794,3355.26983,1584.003661,2494.589142,3030.470619,3621.350062,3938.203635,4525.160849,3347.419971,1098.040148
Mp1g26720,257.516282,244.3412679,348.7342164,388.7629404,1106.432204,377.8362659,371.6621592,428.3889634,313.7214238,301.4521382,773.2153761,1539.446458
Mp1g26730,2950.76577,2764.975773,2256.477096,2184.313041,2301.261949,2394.844662,2106.365533,2135.681905,3515.455857,3721.804539,2408.530445,2755.609652
Mp1g26740,2594.317355,2302.093818,1972.536207,1722.934325,3860.46927,2060.04705,2588.952284,2530.481053,2551.370869,2919.41067,2911.358797,4359.069265
Mp1g26750,546.2310839,453.640265,354.4739415,357.535008,995.1583318,340.8828526,457.4395673,425.7536653,521.3799991,478.4442318,758.8276818,914.3883473
Mp1g26760,9.986245849,17.49246641,2.823183733,6.619083869,41.56159439,8.490833804,5.582068938,5.698709505,5.24112617,7.019425072,24.61961484,45.54891233
Mp1g26770,1647.641651,1662.89671,1643.758578,1605.556236,5217.190147,1547.244206,1757.936206,1815.917171,1551.673652,1550.842222,2416.780721,4830.145513
Mp1g26780,658.9936659,487.6773451,466.8782525,559.6645,299.5418749,538.4165222,453.6932171,448.6480097,323.0098293,276.5925907,102.4485524,161.5097572
Mp1g26790,9.386511059,10.91342004,39.49834697,17.35017785,0.590010872,10.84648334,14.25141451,0,8.704703644,29.52189225,9.932281095,0.517652746
Mp1g26800,1850.826091,1884.971773,1971.202095,2209.593328,1014.609346,1694.025387,1300.422433,1471.74662,1733.983884,1698.216854,826.6640691,837.594606
Mp1g26810,1575.285768,1449.50746,1448.409217,1441.305214,4787.014239,1566.177818,1768.217048,1655.93768,1425.686523,1488.268854,4223.178214,9798.829351
Mp1g26820,690.953325,675.2673792,660.3526678,674.8352579,1294.21822,677.8443721,634.3997778,679.5822122,540.432427,508.6225982,1441.866214,1933.648608
Mp1g26830,357.3880427,351.553477,354.4314892,433.4016018,259.9418668,413.4757438,418.3986107,299.0916382,400.735441,384.1720779,170.0249291,237.4986793
Mp1g26840,329.937109,292.8047644,344.9294565,269.4063744,211.3084549,408.7054319,347.4595955,376.941375,279.92867,325.6233465,330.6526786,228.1668522
Mp1g26850,12.74757091,19.56012306,21.87779729,49.97554403,20.78656289,14.6378616,11.23517125,6.362950737,16.05731546,14.62249206,18.52750551,28.33559096
Mp1g26860,1297.579225,1325.779635,1162.533449,1182.08359,1241.803209,1079.013406,1015.430638,1082.568727,1209.771162,1173.530632,1207.364073,1622.771799
Mp1g26870,549.8490388,513.4175273,489.7836404,499.4234987,466.7139271,502.6659359,553.3981991,511.4027924,466.9977719,507.232588,438.2857402,438.1719792
Mp1g26880,2.718931707,4.116979003,4.773746331,3.393758748,1.39E-17,1.39E-17,0,3.406277774,3.54789079,9.540039907,5.121084332,4.909436096
Mp1g26890,0,1.025772932,1.39E-17,1.39E-17,0.058270746,0.830913042,1.875846598,0.758810541,3.886394085,2.219637477,9.229734547,12.60152702
Mp1g26900,1.39E-17,1.39E-17,0,1.09614792,1.39E-17,1.39E-17,0.94247253,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g26910,413.2603564,435.048881,528.8510834,542.9935269,324.1724377,600.861257,573.8540515,597.9803277,538.950996,487.7065414,287.7120752,197.5646452
Mp1g26920,13.94829859,1.08320128,17.15068154,16.77508584,10.17144344,13.20441606,16.86522793,7.905326417,5.849975076,11.83206161,3.06048473,0.184697606
Mp1g26930,405.0691939,370.1207849,407.8242624,434.5965238,817.556765,370.6041358,487.2898627,403.6282662,301.4591201,303.0462513,724.00434,824.3594174
Mp1g26940,11680.54928,11034.99113,12048.026,10230.85733,27546.29495,11754.96905,11958.51349,13179.36368,10094.08826,10026.89903,19386.22916,43368.67876
Mp1g26950,3.208227577,9.418198367,5.231028422,16.72267535,4.379536032,0,5.248359606,4.326320965,1.251921551,4.343393684,19.11086311,11.569673
Mp1g26960,8046.75258,7652.628663,8456.087662,7337.276004,24361.32696,9181.064165,9682.268213,9000.303937,7095.162152,7190.706912,17905.20035,37128.49774
Mp1g26970,672.6241975,659.8028222,567.7679223,1246.444861,891.0382305,654.2800279,689.3891471,686.0424425,887.7207317,830.2292587,842.815727,1194.160072
Mp1g26980,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g26990,1384.752179,1074.267978,1416.149734,784.6514496,1139.566421,2397.927162,3074.364488,2679.667385,1393.842179,1216.709296,428.0291508,370.9285785
Mp1g27000,1951.893823,1905.171142,2475.646888,2374.256193,1953.23314,2450.858356,2551.691765,2471.737503,2031.014664,1998.456368,1648.623371,972.7899725
Mp1g27010,1.821305981,2.062924853,0,5.439026639,1.448758655,0,1.39E-17,1.39E-17,2.10999555,5.573021554,0.010326127,4.250789289
Mp1g27020,1.39E-17,1.39E-17,0,1.09614792,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g27030,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.792179936,0,0.010326127,4.250789289
Mp1g27040,29.35811948,24.759915,57.08302387,94.74001819,9.500444056,27.48091793,11.12822084,15.61062996,3.520489286,10.34934432,8.168114395,2.215961416
Mp1g27050,118.2208738,113.4107184,242.8510999,477.8277073,46.5620355,144.4759643,76.40049666,72.55068352,28.06284367,34.92704869,52.29919334,125.1262577
Mp1g27060,245.5948694,238.1525743,299.1736654,349.6321075,266.5773176,245.4782291,172.3086351,192.5990268,218.2639909,219.5507038,209.9561604,274.7196496
Mp1g27070,2610.72392,2887.635548,2955.00117,2312.915308,1090.282056,2121.094054,1503.592276,1618.538519,1595.967425,1563.192576,1627.074877,635.4304607
Mp1g27080,5011.622383,5753.620326,5498.29121,4509.46907,3287.110549,4168.966512,3313.728114,3432.77524,4071.192947,3993.8539,3026.963982,1787.830514
Mp1g27090,59.62761827,47.45060258,99.13278518,82.7734033,96.30159532,162.1715192,161.2112515,137.7240033,66.00198972,42.93404232,57.35926957,65.77462863
Mp1g27100,1500.152884,1346.417825,1006.226276,1174.182744,1318.125523,949.0980557,963.2366841,1103.844615,969.250049,1022.093587,1624.099292,1488.630115
Mp1g27110,0,4.0939561,8.560900039,10.03576736,13.3570146,15.64447638,1.8600134,1.672146351,7.837524188,5.283346196,8.168114395,2.215961416
Mp1g27120,113.6693687,100.0195614,95.30343152,87.20001255,176.0486744,74.15578426,106.2146407,100.2801357,123.9598718,89.35978716,92.23625945,202.4924271
Mp1g27130,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g27140,6.53262903,0.021859875,0.873134902,14.21708558,0.266484748,4.225239207,0,1.69478644,0,1.630767902,1.39E-17,1.39E-17
Mp1g27150,9.96675694,19.54540355,3.801624573,4.463213754,0.521861064,9.291356862,7.511763962,3.101610836,8.369828353,8.489122171,7.196124128,10.92842287
Mp1g27160,1.39E-17,1.39E-17,0,1.09614792,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,2.048320349,1.706985654
Mp1g27170,656.1961638,546.4240597,399.2821208,365.4095293,161.3622696,225.281737,170.3890143,230.2869637,195.0371121,268.590315,153.639747,213.3624607
Mp1g27180,1.821305981,2.062924853,0,4.351051706,1.448758655,0,0.884651091,4.207220867,0.698418717,1.574907563,5.150624632,13.61588317
Mp1g27190,0,1.025772932,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,1.630767902,1.39E-17,1.39E-17
Mp1g27200,702.8010753,808.2331649,604.1042509,697.1112443,285.208155,607.5437688,492.7578842,592.3982048,748.0685871,685.6358066,258.0383294,217.9647356
Mp1g27210,24.83437432,15.50091949,18.08343142,21.19176292,4.214822759,14.22779015,25.26501062,12.75997593,21.26801722,33.53386395,15.30589181,0.722608189
Mp1g27220,32.01399979,39.15780312,51.49279052,40.3286771,10.23650621,52.43585115,44.82276034,27.44815822,61.79137858,62.6142064,25.60671953,27.32192242
Mp1g27230,3.733285728,0.013335777,0.958766993,0.013525867,0.166954959,2.52993366,0,0.836798623,1.39E-17,1.39E-17,2.04102223,0.126159455
Mp1g27240,0,2.048114074,0.921295411,4.383290362,1.39E-17,1.39E-17,1.861100033,1.605131268,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g27250,2192.8839,2236.094083,3171.217081,3759.560635,4884.196179,3403.023545,3929.515406,4175.964839,3229.225154,3451.226168,3175.568703,5334.823428
Mp1g27260,735.9055336,637.1406801,648.9584322,555.3851405,731.7167887,754.759375,882.188349,1005.130986,1083.033262,1085.432098,677.8453298,394.5358792
Mp1g27270,233.6562283,242.2667738,239.1356584,287.0506883,311.5465999,373.8166358,426.6928687,401.289749,232.736682,240.4528172,244.7410087,236.9201053
Mp1g27280,2.798646649,0.010233339,0.958766993,0.013525867,4.230870631,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.007046259,2.846153123
Mp1g27290,0.926928744,0.003577278,1.39E-17,1.39E-17,5.640093035,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g27300,576.5012685,445.4029698,530.7918721,467.1041826,396.9941684,535.7110262,439.6250157,584.330739,503.7654731,487.0045416,273.418158,275.4657914
Mp1g27310,40.42162972,26.84449564,62.88541025,63.68923496,80.74851266,51.44286882,83.97371713,51.04760755,28.30935918,71.86512755,112.667347,141.1944536
Mp1g27320,5.4368902,9.258511644,13.36939714,9.026122994,12.7356399,8.92265023,9.336308303,7.260215334,2.946156657,4.707904405,2.054642247,3.131810259
Mp1g27330,1707.194622,1773.202189,1716.259556,1191.232453,5407.620499,1999.047717,1895.849945,1765.245589,1476.899165,1445.675858,2653.299004,3832.471734
Mp1g27340,562.6050902,630.9165843,566.9376148,664.7010745,346.8863668,592.5806432,637.2311882,610.9586815,736.5174801,737.5309333,301.9738302,97.54557247
Mp1g27350,278.5137438,324.7241734,367.7766123,441.2332569,453.4608996,463.1996387,441.5578096,470.7401506,345.7857862,330.0499608,415.7964344,594.9569002
Mp1g27360,4465.504371,4592.806426,5639.299533,5058.003784,6629.231599,5232.915497,4569.53027,4898.744785,4794.726649,4824.977462,4571.313312,7311.343903
Mp1g27370,264.8106407,276.2866256,217.2009398,284.7676409,229.9553698,301.6162285,318.6536175,274.7733443,354.8241245,377.3257556,338.9225219,253.7320726
Mp1g27380,14179.15401,14079.46069,14861.49112,13345.99409,24480.54168,14573.82015,16233.34685,16029.02945,13251.64153,12522.77892,26828.54265,39535.96849
Mp1g27390,1874.015537,1768.062139,1942.969415,1902.751525,2026.591738,2310.335004,2186.471191,2304.581668,1831.84377,1744.839671,2287.588295,1058.72878
Mp1g27400,482.0114119,479.3874165,477.3743787,536.2388362,632.6914044,499.9424049,503.9800147,530.2799105,554.9084337,534.1595972,694.2973504,723.1506331
Mp1g27410,1.39E-17,1.39E-17,0.958766993,0.013525867,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.792179936,0,1.39E-17,1.39E-17
Mp1g27420,1831.82742,1879.390207,2023.061705,1612.374238,2697.470676,1760.433033,1615.407723,1628.26784,1300.521711,1347.554152,2126.908425,2150.350095
Mp1g27430,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g27440,84.356828,71.1575428,100.9710769,119.4746779,115.5031732,161.2112387,106.271894,82.18777992,58.38397009,36.73813901,58.40522703,86.08867885
Mp1g27450,42.961641,74.19050348,106.0641244,75.14834508,140.9634448,162.1721542,148.9500796,136.6582383,91.47133952,57.38782758,79.57047931,51.30860884
Mp1g27460,249.3387514,171.163308,303.7812352,255.8362755,108.2490901,202.2156362,269.5428019,150.7607868,163.9935588,144.6093785,150.7069174,56.48956943
Mp1g27470,2939.843333,2309.329265,3675.349629,3550.748981,848.5217223,2030.925082,2015.051754,2141.435252,1853.224862,1750.242025,1244.140104,780.9499856
Mp1g27480,4492.065475,4779.400131,5891.839954,4833.480463,6359.526106,3337.931653,2557.280395,2484.792604,2963.766957,2777.698572,3064.986011,5849.87505
Mp1g27490,1524.850178,1525.783883,1524.657175,1417.881033,1821.235304,1618.606544,1769.126096,1771.021298,1643.98288,1707.053542,2175.011804,1770.854762
Mp1g27500,592.8756073,616.4949011,553.6059107,623.3850161,283.4153568,563.9597896,607.4711402,499.0650118,584.5150653,647.962274,472.9746884,141.2369904
Mp1g27510,571.8655559,504.1475045,552.6599101,603.291778,594.2226571,609.3868844,673.584443,607.6421157,481.4868796,528.8922498,830.4565237,633.8449493
Mp1g27520,1.39E-17,1.39E-17,1.909742484,1.145909522,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,0.80178186,6.175664202,15.20871854
Mp1g27530,761.5127964,747.6454414,949.9965816,1151.814813,560.9511013,838.0319202,636.257356,693.4658989,829.6403658,826.4329774,460.7813478,345.553481
Mp1g27540,0.926928744,0.003577278,1.39E-17,1.39E-17,1.448758655,0,1.39E-17,1.39E-17,0.741206701,0.753154311,6.141262923,5.011329971
Mp1g27550,1479.011538,1552.580834,1122.527332,1065.925485,778.3936023,1068.73719,1034.092104,1009.886035,1463.894991,1468.896796,770.0442006,614.3919558
Mp1g27560,241.8639906,278.3342937,388.7032816,556.2115521,120.4126512,352.3286197,370.7971765,347.4461748,291.4002748,331.7853021,143.2378413,31.59358322
Mp1g27570,137.4428785,140.2068467,65.71535847,78.13933195,137.054857,62.72082596,94.23499666,55.09539944,139.2405412,99.39664547,64.58854009,150.8843706
Mp1g27580,321.63269,329.8975791,256.3622443,217.9655993,187.5972547,265.5396417,264.5666996,269.2033701,380.7218977,424.5376759,336.9669869,595.9456355
Mp1g27590,2630.050278,2361.887202,2812.071969,2178.851504,16389.23934,2916.958479,2997.937336,2877.166549,1847.830432,1823.736552,14963.07965,13519.26003
Mp1g27600,1164.728286,1121.663781,1239.754381,1080.498462,1623.857431,1059.891815,1046.161108,1159.286363,922.7246023,945.5235207,1693.744886,1713.838325
Mp1g27610,1335.135491,1416.496015,1875.296855,1971.981711,907.966136,1375.981253,1440.281591,1380.228315,1315.710137,1457.411171,1070.070139,759.6845261
Mp1g27620,199.825,170.1286283,162.0074321,148.6523921,384.3677781,203.1808031,215.265871,172.7487608,177.7033045,198.0093809,491.592419,837.6456461
Mp1g27630,52.21881223,53.60819133,53.31426711,69.16467794,42.06892942,32.70101731,16.66003072,30.47174667,50.35663932,50.23084243,56.33251511,62.62750886
Mp1g27640,18.30713433,19.58524838,93.37728331,94.97057148,35.85038159,224.5344196,195.633962,194.9505572,27.33245041,32.57405033,22.4694978,4.487973265
Mp1g27650,11.95757261,8.268378522,40.10642157,21.43904858,58.66316491,103.8615107,107.1735663,92.05178912,36.31362441,18.91256308,20.47525782,17.95935764
Mp1g27660,22.04544112,16.51875237,16.14446156,25.56731627,2.85062484,19.30846081,11.14421434,13.93257715,24.07678445,11.20965203,3.068037586,1.811613576
Mp1g27670,1128.923974,1280.402582,1578.943523,1658.027722,976.0252453,1167.168616,1269.800041,1200.747976,1138.813433,1080.733102,624.6284396,485.598523
Mp1g27680,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g27690,550.7677247,511.3564939,794.6894393,897.1167339,446.8312685,793.0086999,569.1768413,629.0323526,641.9257404,614.5570752,434.1731538,375.7646958
Mp1g27700,1.39E-17,1.39E-17,0.958766993,0.013525867,2.833686096,0,0,0.836798623,0.792179936,0,2.060251216,4.551567873
Mp1g27710,717.4474362,858.7427537,800.4115466,884.8387824,290.2033477,642.0687872,575.7103909,612.6830399,754.9238451,700.3379973,319.3526436,70.5860797
Mp1g27720,2600.544462,3672.133558,4951.28477,4814.39015,3936.795546,4905.63028,4327.268189,5283.092991,4296.059593,5441.41001,2501.694658,2367.99726
Mp1g27730,4.094012788,10.76983781,7.359070952,14.56784994,31.7151393,9.668638559,2.715807557,16.82401915,7.01681318,9.752836479,13.02462444,21.74486131
Mp1g27740,952.5125229,938.6871525,1042.698503,967.4412853,999.9712024,1308.2684,1310.690819,1418.630906,1082.618194,1218.158223,1085.671014,384.4266249
Mp1g27750,996.9884016,1064.946744,829.971768,839.0816644,1476.228244,865.993262,1008.948133,957.6513511,951.0208868,928.4614567,1664.053096,1757.199265
Mp1g27760,5.480235613,6.184024001,8.631433405,2.364227337,169.392042,3.248344423,0,10.19364713,0.698418717,1.574907563,81.97581056,143.5433138
Mp1g27770,561.730588,567.0145506,525.036929,545.2216757,397.198624,576.8385427,598.124995,537.4829138,598.497915,535.627251,618.3989081,216.7504819
Mp1g27780,232.8452141,183.5413371,448.7986444,479.2864055,468.7706171,339.7294971,388.4830677,380.931944,219.0584316,214.1090336,316.417444,291.8231464
Mp1g27790,12.84160875,11.35002621,6.721745521,1.229978164,3.218908687,2.424027632,5.635035609,2.316552914,2.0476807,7.203429714,1.033937907,2.997913848
Mp1g27800,1948.259042,1766.006279,1830.577798,1443.670387,7097.154328,1703.9846,1906.063643,1962.752853,1468.394105,1579.529813,6647.021834,11138.30773
Mp1g27810,87.28085875,79.72172918,63.13502327,65.58563315,221.5829776,56.94694587,73.27998414,70.09838486,90.22572573,51.41037472,115.552917,342.4397535
Mp1g27820,1060.980395,1009.998927,863.0674593,881.858503,781.7104946,855.5712006,870.485752,769.9722416,841.3124776,934.6958861,760.090201,758.0487228
Mp1g27830,4427.031905,4385.59458,3269.360891,3966.243955,524.1329225,1085.515474,531.9112967,589.8783151,1075.185545,1302.116452,1013.720872,566.9990073
Mp1g27840,1327.931889,1290.766393,1275.907394,1487.033002,855.5412519,1270.889709,1164.609652,1207.454129,1209.011803,1240.118936,1324.019707,609.3280708
Mp1g27850,3376.85193,3408.264619,3772.51269,4166.289408,1888.50783,3071.147293,2811.627627,2598.957714,2931.493495,3309.809543,2225.156092,1420.3805
Mp1g27860,912.7590784,806.2109486,1416.016697,1372.049068,1147.409023,702.5938977,620.5127602,511.3039543,257.1625787,265.1906504,637.0067696,1108.176649
Mp1g27870,42.06531846,35.95283186,65.37420254,72.40435348,16.64220655,41.4985568,10.69966177,23.80935552,6.716334297,22.1322082,15.49726787,7.217139211
Mp1g27880,1200.584359,1187.783785,1348.739658,1166.712146,1018.645058,847.3627875,726.9634614,847.0629389,587.1520919,693.7050671,1179.492305,950.9966206
Mp1g27890,1110.745914,873.2385303,1210.235668,963.2337614,809.678842,1188.702513,1061.106065,1044.97162,976.3246809,862.6381186,481.30338,518.4891959
Mp1g27900,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.358152726,5.916963877,1.39E-17,1.39E-17,1.612713073,0,0.007046259,2.846153123
Mp1g27910,1324.16448,1319.597827,1264.516141,1168.730733,1575.182237,1174.153056,1075.974609,1185.385697,1467.706346,1478.95196,960.6088774,1835.936255
Mp1g27920,325.4312633,238.1914863,73.4688421,41.57584744,143.718694,69.31382753,107.1195096,110.9565867,112.0469864,127.672803,139.2999881,187.6855724
Mp1g27930,28.30010065,42.23058247,48.63338773,38.09243357,49.43351529,55.90842168,43.66869167,69.6470137,20.24595567,34.35602146,19.4582044,19.38588249
Mp1g27940,82.56774593,60.86318931,33.30822791,43.47962025,40.75689309,36.88768925,22.35573207,22.00246161,42.91231134,33.82206868,32.755694,26.21158851
Mp1g27950,36.52784044,56.65553815,14.1615194,45.4219122,51.70283447,37.58261692,19.48274097,29.56686833,43.44474241,45.63331155,47.09551154,40.62120486
