target_id	TF_id	cor	p	in_fimo	target_name	TF_name
Mp1g09960	Mp4g18230	-0.86312985186457	0.00029926891948806	FALSE	TDR	TRIHELIX17
Mp1g10440	Mp4g20600	0.83779839714922	0.000668898037967436	FALSE	DLT	RRB
Mp1g09960	Mp4g21790	0.915312256686648	2.97198603431692e-05	FALSE	TDR	R2R3-MYB20
Mp1g20490	Mp4g22430	0.950223984872805	2.21297613078875e-06	TRUE	LISCL	1R-MYB7
Mp1g20490	Mp5g01530	0.85723291268789	0.000365722644744881	FALSE	LISCL	NAC6
Mp1g09960	Mp5g03020	-0.837989191981128	0.000665198498806197	FALSE	TDR	BHLH1
Mp1g09960	Mp5g09660	-0.82608178482381	0.00092844117897406	FALSE	TDR	S1Fa-like (1)
Mp1g11660	Mp5g11100	0.854776875610985	0.000396561154079267	FALSE	WOX13	AP2B3-2
Mp1g23000	Mp5g11100	0.861931902236031	0.000311939223859525	FALSE	BAM1	AP2B3-2
Mp1g11660	Mp5g12480	0.836124442361077	0.000702043466729307	TRUE	WOX13	ERF18
Mp1g23000	Mp5g12480	0.887217458154344	0.000118584247273734	FALSE	BAM1	ERF18
Mp1g09960	Mp5g13160	0.917677838895878	2.58997783695314e-05	FALSE	TDR	LD
Mp1g01110	Mp5g18050	0.880336088198807	0.00015755182301902	FALSE	BHLH33	CLE2
Mp1g11660	Mp5g18050	0.864606035776659	0.000284211036365667	FALSE	WOX13	CLE2
Mp2g02280	Mp5g18050	0.870373407545114	0.000230945643493907	FALSE	TRIHELIX30	CLE2
Mp2g03850	Mp5g18050	0.838018161368341	0.000664638166022247	FALSE	LS	CLE2
Mp2g07170	Mp5g18050	0.933857958521435	8.91561434768207e-06	FALSE	BZIP4	CLE2
Mp2g24110	Mp5g18050	0.851597306967602	0.00043944401907936	FALSE	C2H2-10	CLE2
Mp2g25840	Mp5g18050	0.845546149610648	0.000530936491821787	FALSE	MYB_related (1)	CLE2
Mp3g12980	Mp5g18050	0.825306930042806	0.000947997277512602	FALSE	ASLBD24	CLE2
Mp3g19670	Mp5g18050	0.869598781887985	0.000237606215087727	FALSE	BBX3	CLE2
Mp4g00180	Mp5g18050	0.912131354562488	3.55413013375383e-05	FALSE	WRKY13	CLE2
Mp4g04910	Mp5g18050	0.909164522923154	4.17463400081974e-05	FALSE	BHLH16	CLE2
Mp4g12490	Mp5g18050	0.832025732396057	0.000788572971577972	FALSE	MADS1	CLE2
Mp5g08810	Mp5g18050	0.858091052772974	0.000355399416718249	FALSE	TRIHELIX23	CLE2
Mp5g11100	Mp5g18050	0.872117516330666	0.000216481920481293	FALSE	AP2B3-2	CLE2
Mp1g11660	Mp5g20530	0.920141098042151	2.23443876539164e-05	TRUE	WOX13	IDDL3
Mp1g23000	Mp5g20530	0.917434619336451	2.62736517804285e-05	TRUE	BAM1	IDDL3
